Assamese_Sentence	English_Translation
ইয়াৰ পাছত সাংবাদিকৰে হোৱা সাক্ষাৎকাৰত কংগ্ৰেছ সাধাৰণ সম্পাদক ৰাৱাটে কয় যে, ৰাহুল গান্ধীৰ আদেশ মৰ্মে দেওবাৰে তেখেতে ইশ্বৰ নায়কৰ বাসগৃহত উপস্থিত হৈ পৰিয়ালক সমবেদনা জ্ঞাপন কৰাৰ লগতে সাহাৰ্য্য প্ৰদান কৰে।	Later, in an interview with reporters, Congress general secretary Rawat said that at the behest of Rahul Gandhi, he reached Ishwar Naik's residence on Sunday to offer condolences to the family and provide relief.
তিহাৰ জেলত প্ৰাক্তন বিত্তমন্ত্ৰী পি চিদাম্বৰক দেখা কৰিলে কংগ্ৰেছৰ অন্তৱৰ্তীকালীন অধ্যক্ষা ছোনীয়া গান্ধী আৰু মনমোহন সিঙে	Congress interim president Sonia Gandhi and former prime minister Manmohan Singh meet former finance minister P Chidambaram at Tihar jail.
উল্লেখ্য যে, কেৱল এইবাৰেই নহয় ২০১৫, ২০১৭ আৰু ২০১৮ চনতো মদ খাই মাতলামি কৰিছিল ৰাজকন্যাই।	It is to be noted that the princess was drunk not only this time but also in 2015, 2017 and 2018.
আগ্ৰহ অনুযায়ী অৰিন্দমে ইয়াৰ মাজত বহু কেইখন ইংৰাজী পুথিও দান কৰিছে।	Out of interest, Arindam has also donated a number of English books.
নিয়মীয়া বাৰ্তা, ২৮ নৱেম্বৰ : গো-পালনেৰে দুগ্ধ উৎপাদন কৰি গ্ৰামাঞ্চলৰ ৰাইজক স্বাৱলম্বী কৰাৰ এক আদৰণীয় পদক্ষেপ গ্ৰহণ কৰি আহিছে বৰহোলাৰ কপিলী দুগ্ধ উৎপাদক সমবায় সমিতি লিমিটেডে।	Regular Message, November 28: Borholla's Kapili Milk Producers Cooperative Society Limited is taking a welcome step to make the rural population self-sufficient by producing milk through cow-rearing.
তেতিয়া এই কথা পোহৰলৈ আহে যে কুকুৰটো ২০১০ চনৰ পৰা নিখোজ হৈ আছে৷	It is then revealed that the dog has been missing since 2010.
ডিমাপুৰৰ পৰিস্থিতি শান্তঃ জৰিমনা অবিহনে অসমৰ ৯ গৰাকী লোকক মুকলি কৰি দিলে ডিমাপুৰ আৰক্ষীয়ে	Situation calm in Dimapur: 9 Assam men released without fine by Dimapur police
প্ৰতিষ্ঠানটিয়ে কেৱল পৰীক্ষাৰ প্ৰস্তুতিতে সীমাৱদ্ধ নাৰাখি শিক্ষাৰ্থীসকলৰ ব্যক্তিত্ব বিকাশতো গুৰুত্ব প্ৰদান কৰিছে।	The institute has also focused on personality development of students, not just limited to exam preparation.
গুৱাহাটীৰ জি এছ ৰোডত মহানগৰবাসীয়ে কৰিব নোৱাৰিব ডাবল পার্কিং৷	City residents will not be able to do double parking on GS Road in Guwahati.
হোজাই জিলাৰ কৰ্মচাৰী পৰিষদৰ সম্পাদক প্ৰনৱ চৌধুৰীৰ , লামডিঙ আঞ্চলিক কৰ্মচাৰী পৰিষদৰ সভাপতি সঞ্জীৱ ৰয় আৰু যুটীয়া সম্পাদক যোগেন কাকতিৰ উদ্যোগত আজি লামডিঙ মুৰাবস্তি, পটোপথাৰ আৰু গান্ধী কলনীত মুঠ ২৫০ টা পৰিয়ালক চাউল দালি বিস্কুট নিমখ তেল চাবোনকে ধৰি প্ৰয়োজনীয় সামগ্ৰী সমূহ বিতৰন কৰে ৷	Under the initiative of Hojai District Employees'Council Secretary Pranab Choudhury, Lumding Regional Employees'Council President Sanjeeb Roy and Joint Secretary Yogen Kakati today distributed essential items including rice, biscuits, salt and oil soaps to a total of 250 families at Lumding Murabasti, Patopathar and Gandhi Colony.
’হেমেন দাসৰ ৰাজনৈতিক জীৱনৰ কিছু সৰু সৰু কথা।	'Some trivia about Hemen Das's political career.
তদুপৰি শান্তি আলোচনাই ইতিবাচক ফলাফল কঢ়িয়াই আনিব বুলি আশা প্ৰকাশ কৰিছে মন্ত্ৰী প্ৰমিলা ৰাণী ব্ৰহ্মই।	Minister Pramila Rani Brahma has also expressed hope that the peace talks will bring positive results.
এইক্ষেত্রত চৰকাৰী পক্ষই তেওঁক যথেষ্ট নগুৰ–নাগতি কৰিছিল৷	In this regard, he was heavily criticized by the government.
এই কামৰ বাবে তেওঁক আমি কৃতজ্ঞতা জ্ঞাপন কৰিছো।	We thank him for this work.
’উল্লেখ্য যে, ইয়াৰ পূৰ্বে কংগ্ৰেছকে ধৰি বিৰোধীয়ে বিজেপিৰ বিৰুদ্ধে দেশৰ সংস্থাসমূহ নিজৰ দখললৈ নি নিজ খেয়াল খুচি মতে ব্যৱহাৰ কৰাৰ অভিযোগ উত্থাপন কৰি আহিছে।	It may be recalled that earlier, the opposition, including the Congress, had been accusing the BJP of misusing the country's institutions for its own ends.
বিগত ২৪ঘন্টাত ভাৰতত কোৰোনাত আক্ৰান্ত হৈছে ১১,৫০২গৰাকী ব্যক্তি।	India has reported 11,502 cases in the last 24 hours.
বিহপুৰীয়া স্বাস্থ্য কেন্দ্ৰত সৰ্প দংশনৰ চিকিৎসা উপলব্ধ বুলি বিজ্ঞাপন দিয়াৰ পাছতো চিকিৎসালয়খনত সৰ্প দংশনৰ চিকিৎসা বৰ্তমান উপলব্ধ নহয়।	Despite advertising that snakebite treatment is available at the Bihpuriya Health Centre, snakebite treatment is not currently available at the hospital.
যদিও স্থানীয় ৰাইজৰ মতে বাঘে আক্ৰমণ কৰি এই লোকজনক হত্যা কৰা সন্দেহ প্ৰকাশ কৰিছে।	Local people, however, suspect that the tiger attacked and killed the man.
ইফালে পিষ্টলৰ লগতে ভালেসংখ্যক আপত্তিজনক সামগ্ৰীও জব্দ কৰিছে আৰক্ষীয়ে।	Police have also seized a number of incriminating materials, including pistols.
আলফাৰ কেন্দ্ৰীয় সহকাৰী সাংগঠনিক সম্পাদক খগেন বৰাৰ আত্মসমৰ্পণ	ULFA central assistant organising secretary Khagen Bora surrenders
সম্প্ৰতি ৰাজ্যত চৰ্চিত সমস্যাসমূহৰ ভিতৰত বাৰুকৈয়ে স্থান পাইছে বনৰীয়া হাতী আৰু মানুহৰ সংঘাতে৷	Conflict between wild elephants and humans is one of the most frequently discussed problems in the state.
উল্লেখ্য যে তিনিচুকীয়া জিলাৰ উপৰি হোজাই, দৰং, নলবাৰী, লখিমপুৰ, কৰিমগঞ্জ, নগাঁও, মৰিগাঁও, গোৱালপাৰা, হাইলাকান্দি আৰু বৰপেটা জিলাত আজিৰে পৰা মাইক্র’ ফাইনেঞ্চ উদগনি আৰু সকাহ আঁচনিৰ অধীনত চেক প্রদানৰ কার্যসূচী অনুষ্ঠিত কৰা হৈছে৷	It may be noted that apart from Tinsukia district, the cheque distribution programme under the Microfinance Promotion and Relief Scheme is being held in Hojai, Darrang, Nalbari, Lakhimpur, Karimganj, Nagaon, Morigaon, Goalpara, Hailakandi and Barpeta districts from today.
মুখ্যমন্ত্ৰী, প্ৰধানমন্ত্ৰী অথবা গৃহমন্ত্ৰীক অশালীন মন্তব্য ফেচবুক, ইনষ্টাগ্ৰাম আদিত কৰা সকলৰ বিৰুদ্ধে আৰক্ষীয়ে ব্যৱস্থা লোৱা আমি প্ৰায়ে দেখা-শুনা পাওঁ।	We often see the police taking action against those who make indecent comments to the Chief Minister, Prime Minister or Home Minister on Facebook, Instagram, etc.
বীৰাংগনা মহীয়সী নাৰী সতী সাধনীৰ ৪৯৮ সংখ্যক জন্মজয়ন্তী উৎসৱ উপলক্ষত ঢকুৱাখনাত অনুষ্ঠিত কৰা হয় এই অনুষ্ঠান ।	The event is held in Dhakuakhana on the occasion of the 498th birth anniversary of Veerangana Mahayasi Nari Sati Sadhani.
দেওবাৰৰ এই গোহাৰি বিতৰণ অভিযান কাৰ্য্যসূচীত বড়িগোগ বনভাগ মন্ডল বিজেপিৰ সভাপতি ডিম্বেশ্বৰ বেজবৰুৱা, প্ৰাক্তন সভাপতি মৃদুল কলিতা, ঘগ্ৰাপাৰ জিলা পৰিষদৰ সদস্য পংকজ ডেকা, ঘগ্ৰাপাৰ গাঁও পঞ্চায়তৰ সভাপতি ৰাতুল শৰ্মা, কাউন্সিলা মনেশ্বৰ ভৰালী, বড়িগোগ বনভাগ মন্ডল যূৱ মৰ্চাৰ সভাপতি গৌতম কাকতি, কটকীয়া বুথ বিজেপিৰ সভাপতি নৃপেন কলিতা, এই প্ৰত্ৰ বিতৰণ প্ৰমুখ্যে বুবুল দাস, বিজেপি নেতা মনোজ ডেকা, শ্যামন্ত শৰ্মা, দ্বীপ মল্ল বৰুৱা ,পুলেন কলিতা আদিয়ে অংশগ্ৰহণ কৰে।	In Sunday's Gohari distribution drive, Birigog Banbhag Mandal BJP president Dimbeswar Bezbaruah, former president Mridul Kalita, Ghagrapar Zila Parishad member Pankaj Deka, Ghagrapar Gaon Panchayat president Ratul Sarma, councilor Maneswar Bharali, Birigog Banbhag Mandal Yuva Morcha president Gautam Kakati, Katakia booth BJP president Nripen Kalita, chief of this distribution Bubul Das, BJP leaders Manoj Deka, Shyamanta Sarma, Dipu Malla Barua, Pulen Kalita, etc. took part.
‘দিল্লী পুলিচ জিন্দাবাদ’ ধ্বনি দি সাব্যস্ত কৰে এই প্ৰতিবাদ।	The protest was marked by chants of'Delhi Police Zindabad '.
ৰাজনীতিত বিশ্বাস আৰু ন্যায় নিষ্ঠাৰ কম বুলি মানুহে ভাবে।	In politics, people think that faith and justice are less than integrity.
সর্বভাৰতীয় পর্যায়তGlobal Chambers of Commerce Industries & Agricultureৰ নেতৃত্বত আৰু অখণ্ড ভাৰত ফাউণ্ডেচনৰ সহযোগিতাত আয়োজন কৰা এই অনুষ্ঠানত ৰাজ্যখনৰ হৈ প্রতিনিধিত্ব কৰি প্রতিভাৱান সংগীত শিল্পী হিমাক্ষীয়ে লাভ কৰা সফলতাই অসমীয়া সংগীতক এক অভূতপূর্ব স্বীকৃতি দিয়া বুলি ক’ব লাগিব৷	Organised at the all-India level under the aegis of the Global Chambers of Commerce Industries & Agriculture and in association with the Akhand Bharat Foundation, the success of talented musician Himakshi in representing the state at the event must be said to have given Assamese music an unprecedented recognition.
যাৰ ফলত স্বাস্থ্য কেন্দ্ৰটোত কোনো জৰুৰীকালিন সেৱা প্ৰদান কৰা নহয়৷	As a result, no emergency services are provided at the health centre.
যাৰ মূল্য ৫ কোটি টকাৰ অধিক বুলি অভিযোগ উত্থাপন হৈছে৷	The value of which is alleged to be over Rs 5 crore.
ছিপাঝাৰৰ গৰুখুঁটিলৈ যিসকল লোক আহিছে, সেইসকলৰ সৰহভাগেই দলগাঁও, মঙলদৈ, বাঘবৰ, সৰুক্ষেত্রী আদিৰ পৰা অহা৷	Most of the people who have come to Chupajhar's graveyard are from Dalgaon, Mankhurd, Baghbar, Sarukhetri, etc.
জিলাখনৰ বিভিন্ন প্ৰান্তৰ গো-পালকসকল একত্ৰিত হৈ শিৱসাগৰ ষ্টেচন চাৰিআলি সমীপত ধৰ্ণা কাৰ্যসূচী ৰূপায়ণ কৰাৰ লগতে উপায়ুক্ত কাৰ্যালয়লৈ বিশাল সমদল উলিয়ায়।	Cowherds from different parts of the district gathered and staged a sit-in near Sivasagar Station Chariali and took out a huge rally to the Deputy Commissioner's office.
বৰঝাৰৰ পৰা কোকৰাঝাৰ অভিমুখে প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোডী	Prime Minister Narendra Modi leaves for Kokrajhar from Borjhar
স্বাধীনতা দিৱসত উগ্ৰপন্থীৰ বিৰুদ্ধে সোণাই-ৰূপাই অভয়াৰণ্যত যুঁজ দিয়াৰ বাবে এজন সেনা জোৱানক ৰাষ্ট্ৰপতি পুৰস্কাৰেৰে পুৰস্কিত কৰা হৈছিল।	On Independence Day, an army jawan was awarded the President's Award for fighting in the Sonai-Rupai sanctuary against militants.
এই অভিযান কালত নিয়াৰ দলটোৱে  এন এছ চি এন  মুইভা গোটৰ চাৰ্জেন্ট মেজৰ অছলম ওৰফে ৰংকৱাঙ টাংখুল আৰু জেমছ কিৱাঙৰ ডিমাপুৰ বাসগৃহত  পৰা দুখন কুৰ্ৱাড্ৰপকটা ড্ৰোণ , ৩২ জাই গুলী ,  .২২ টা মবাইল ৩টা এপল লেপটপ , এটা পেনড্ৰাইভ আৰু দুখন মেমৰি কাৰ্ড জব্দ কৰে ।	During the operation, the NIA team seized two KURWADRPOKTA drones, 32 live bullets,.22 mobiles, 3 Apple laptops, one pen drive and two memory cards from the Dimapur residence of Sergeant Major Aslam alias Rongkwang Tangkhul and James Kiwang of the NSCN Muivah faction.
স্বৰ্গদেউ চাওল্যুং ছ্যুকাফাৰ নামৰে হ'ব বিশ্ববিদ্যালয়খন।	The university will be named after the late Chaolung Syukaphar.
প্ৰতিটো খণ্ড চোৱাৰ পিছত পৰৱৰ্তী খণ্ডটোত কি হ’ব সেই উৎসুকতা মনত ৰৈ যায়।	After watching each episode, the curiosity of what will happen in the next episode lingers in the mind.
জনা মতে,শংকৰঘোলা কমলা বাগান বনভোজস্থলীত স্থানীয় একাংশ লোকে ‘শংকৰঘোলা ডেভলপমেন্ট কমিটি” নামৰ এক অখ্যাত সন্থাই উক্ত বনভোজস্থলীত পৰ্য্যবেক্ষণ কৰে ।	Reportedly, at the Shankarghola orange garden picnic spot, a group of locals called'Shankarghola Development Committee'observes at the picnic spot.
ইফালে শিৱসাগৰ আৰক্ষী থানাৰ চৌহদত কটকটীয়া কৰা হৈছে নিৰাপত্তা ব্যৱস্থা।	Meanwhile, security has been beefed up at the Sivasagar Police Station premises.
প্রতি ২৫ কিলোগ্রাম উখুৱা চাউলৰ মূল্য ৮৭০ টকাৰ পৰা ৯৬০ টকালৈ বৃদ্ধি পাইছে৷	The price of 25 kilograms of parboiled rice has gone up from ₹870 to ₹960.
ইফালে, এই সময়চোৱাত গ্ৰীণ জ’ন সমূহত ব্যক্তিগত যান-বাহন চলাচলত বাধা নাই যদিও, সন্ধিয়া ৬ বজাৰ পূৰ্বে লক্ষ্য স্থান পাবলৈ লাগিব।	Meanwhile, private vehicles are not allowed in the Green Zones during this time, but must reach the destination before 6 pm.
সাধাৰণ জনতাৰ বাবে দুঃখবৰ! ভাড়া বৃদ্ধিৰ সিদ্ধান্ত	Sad for the common man! Decision to hike fares
কেটিএম আৰচি200 হৈছে 199 চিচি, লিকুইড-কুলড, দ্বৈত-চিলিণ্ডাৰ 4-ষ্ট্ৰোক ইঞ্জিনৰ দ্বাৰা চালিত, ২৫ পিএছ পাৱাৰ আউটপুট আৰু ১৯.২ এনএম টৰ্ক দিয়ে।	The KTM RC200 is powered by a 199cc, liquid-cooled, dual-cylinder 4-stroke engine, delivering 25PS of power output and 19.2Nm of torque.
এতিয়ালৈকে এই আগ্নেয়গিৰিৰ ফলত ১৩গৰাকী লোকৰ প্রাণহানি হোৱা বুলি নিশ্চিত কৰিছে স্থানীয় প্রশাসনে৷	So far, 13 people have been confirmed dead by the local administration due to the volcano.
কৰ্ণাটকৰ বেলগামত ঘৰৰ চালিত ঘৰিয়ালৰ জিৰণি।	The cradle of a house-run crocodile in Belgaum, Karnataka.
পত্নীৰ সৈতে হোৱা কাজিয়াৰ পিছতে লোকজনে এই কাম কৰে।	This is done by the man after the affair with his wife.
পূব দিল্লী লোকসভা সমষ্টিত আপৰ প্ৰাৰ্থীৰ আতিশিৰ মনোনয়ন পত্ৰ দাখিল।	AAP candidate Atishi files her nomination from East Delhi Lok Sabha constituency.
কিন্তু এই সকলোবোৰ দেখিও নেদেখে এতিয়া জনপ্ৰতিনিধিয়ে।	But now the popular representatives do not even see all this.
ট্ৰাম্পৰ সৈতে এই ভাৰতলৈ আহিব তেওঁৰ পত্নী, কন্যা আৰু জোৱাই।	Trump will be accompanied by his wife, daughter and son-in-law.
বৈঠকৰ অন্তত বহুকেইটা গুৰুত্বপূৰ্ণ সিদ্ধান্ত লোৱা হৈছে৷	Many important decisions were taken in the meeting.
বিভিন্ন ৰাজনৈতিক দলৰ চিলা প্ৰস্তুত কৰে এই ব্যক্তিজনে।	This is the person who makes the kites of various political parties.
ইফালে, আৰবিআইৰ নীতি উলংঘা কৰি ঋণ দিয়াৰ সম্পূর্ণ দায়িত্ব সংশ্লিষ্ট বিত্তীয় প্রতিষ্ঠানে গ্রহণ কৰিব লাগিব৷	Meanwhile, the financial institution concerned will have to take full responsibility for lending in violation of the RBI's policy.
বিশিষ্ট অতিথি ৰূপে অংশ গ্রহন কৰে  অসম সাহিত্য সভাৰ নৱ নিৰ্বাচিত প্রধান সম্পাদক যাদৱ শৰ্মা ৷	Jadav Sarma, the newly elected secretary-general of the Asam Sahitya Sabha, was the guest of honour.
@ দিফলুত ঘৰৰ টিন পাত ধুমুহাই উৰুৱাই নিয়ে।	A storm blew away the tin sheets of a house in @ Diphlu.
ভগৱানপুৰ আৰক্ষী চকীৰ ভাৰাপ্ৰাপ্ত আৰক্ষী বিষয়াজনে জানিবলৈ দিয়া মতে এই ঘটনা সংঘটিত হয় বুধবাৰে নিশা৷	According to the police officer in charge of Bhagwanpur police post, the incident took place on Wednesday night.
পেৰাচিটামলৰ দৈনিক ব্যৱহাৰে ৰক্তচাপ বঢ়োৱাৰ লগতে হার্ট এটেক আৰু স্ট্রোকৰ আশংকা বঢ়াই তোলে।	Daily use of paracetamol increases blood pressure as well as the risk of heart attack and stroke.
আৰু পঢ়িব পাৰিব : ওদালগুৰিত নিৰ্বাচনী হিংসা : বিপিএফৰ পোলিং এজেণ্টক আক্ৰমণ !	Also Read: Poll violence in Udalguri: BPF polling agent attacked!
নিৰ্ধাৰিত সময়ৰ অন্তৰালত ৩-৩ গ’লৰ সমতা স্থাপন কৰে।	The scores were tied 3 goals to 3 at the end of regulation time.
ইফালে এই  খেলাৰ বাবে অনুপযোগী সামগ্ৰী সমূহ ছাত্ৰ ছাত্ৰীয়ে খেলাৰ পৰিবৰ্তে বিদ্যালয়তে পেলাই থবলগীয়া হৈছে।	Meanwhile, items not suitable for this game are being thrown away at the school instead of being played by the students.
সেয়ে পাম্পৰ পৰা ভয়াৱহ দুৰ্ঘটনা সংঘটিত হলে ভয়াৱহ দুৰ্যোগৰ সন্মুখীন হোৱাৰ আশংকা কৰিছে সচেতন মহলে।	Therefore, there is a risk of a terrible disaster if a terrible accident occurs from the pump.
'নোখোৱাকৈ কাম কৰিব নোৱাৰোঁ, আমাক খৰি দিয়ক, ৰেচন দিয়ক'	'Can't work without food, feed us, give us rations'
কিন্তু ইয়াৰ মাজতে দেখা গল ব্যতিক্ৰমী দৃশ্য।	But in the midst of this, an exceptional scene was seen.
সংবাদ মেলত এয়াই ভূপেন বৰাৰ আচল স্বভাৱ , চৰিত্ৰ বুলিও মন্ত্রীগৰাকীয়ে উল্লেখ কৰে।	This is the true nature, character of Bhupen Bora in the press conference, the minister also mentioned.
ফেডাৰেচন অফ ইণ্ডিয়ান ফেণ্টাচী স্পৰ্টছৰ সহযোগত 2019 চনত কৰা এক অধ্যয়নত দেখা গৈছিল যে, 90 নিযুত ব্যৱহাৰকাৰীৰ আধাৰৰ সৈতে, কল্পনামূলক ক্ৰীড়া উদ্যোগটোৱে চুপাৰ চিলেক্টিভ যুগৰ যিকোনো লোকতকৈ অধিক ৰাজহ আনিছে।	A 2019 study in collaboration with the Federation of Indian Fantasy Sports found that, with a user base of 90 million, the fantasy sports industry brought in more revenue than anyone in the super selective era.
২খন আসনত নিৰ্বাচন অনুষ্ঠিত হোৱা নাই।	Elections were not held in 2 seats.
ইফালে, ৰাজ্যৰ বিভিন্ন প্ৰান্তত আৰক্ষীৰে হতাহতিতো লিপ্ত হয় একাংশ লোক।	Meanwhile, a number of people were also injured in police firing in different parts of the state.
বহুবছৰ ধৰি সন্যাসীকেইজন উক্ত স্থানৰ পৰা প্ৰস্থান কৰাত গাওঁখনৰ সৈতে তেওঁলোকৰ সম্পৰ্ক বিচ্ছিন্ন হৈ পৰিছিল।	The departure of the monks from the site for many years severed their connection with the village.
তেওঁ অভিনয় কৰা ‘কাশ্মীৰ কুমাৰী’, ‘চিৰাজউদ্দৌলা’, ‘টিপু চুলতান’ আদি নাটক অসমৰ নাট্যজগতত মাইলষ্ট’ন স্বৰূপ৷	His plays like'Kashmir Kumari ','Sirajuddaula ','Tipu Sultan'are milestones in the theatre world of Assam.
সৰ্বমুঠ ২৭ জন কৰোনা ভাইৰাছত আক্ৰান্তৰ ২৬ জনেই কৰোনা সক্ৰিয় ।	Out of a total of 27 coronavirus cases, 26 are active.
এতিয়া এপদ-এপদকৈ সামগ্ৰী বিক্ৰী কৰিছে, পৰৱৰ্তী সময়ত যে ৰাজ্যবাসীৰ অজ্ঞাতে কাগজ কলটো চৰকাৰে বিক্ৰী নকৰিব সেই কথাত সন্দেহ আছে।	Now it is selling the products one by one, later there is a doubt that the government will not sell the paper mill without the knowledge of the people of the state.
উল্লেখ্য যে কালি ছাত্রী নিৱাস দুটাৰ ৫গৰাকী ছাত্রীৰ দেহত ক’ভিড পজিটিভ ধৰা পৰাৰ পাছত আজি দুয়োটা ছাত্রী নিৱাসৰ ছাত্রীৰ ক’ভিড টেষ্ট কৰা হয় আৰু আন ৩৯গৰাকীৰ দেহত ক’ভিড পজিটিভ ধৰা পৰে৷	It may be noted that after 5 girl students of the two hostels were found to be COVID positive yesterday, COVID tests were conducted on the girl students of the two hostels today and 39 others were found to be COVID positive.
মহাৰাষ্ট্ৰত শিৱসেনা-কংগ্ৰেছ আৰু এনচিপিৰ ত্ৰিদলীয় চৰকাৰ গঠন প্ৰায় নিশ্চিত হোৱাৰ পিছতে শিৱসেনা-বিজেপিৰ মিত্ৰতা ভংগক লৈ মন্তব্য কৰিছে কেন্দ্ৰীয় মন্ত্ৰী নীতিন গাডকাৰীয়ে।	Union Minister Nitin Gadkari has commented on the breakup of the Shiv Sena-BJP alliance after the Shiv Sena-Congress and NCP were almost certain to form a three-party government in Maharashtra.
ট'কিঅ' অলিম্পিকত ভাৰতীয় শ্বাটলাৰ পি ভি সিন্ধুৰ জয়৷	Indian shuttler PV Sindhu won the bronze medal at the Tokyo Olympics.
সদস্য ভৰ্তি অভিযানৰ আজি অন্তিম দিনা ব্যাপক হাৰত শাসনাধিষ্ঠ দলটোৰ প্ৰতি আকৰ্ষিত হোৱা দেখিবলৈ পোৱা যায় |	On the last day of the membership drive today, a large number of people are attracted to the ruling party.
যোগেন্দ্ৰ ভূমিজৰ ঘৰৰ সমীপতে ওলাইছিল হাতীটো।	The elephant came out near the house of Yogendra Bhumij.
নিছাৰ্গা ঘূৰ্ণীবতাহৰ প্ৰতি লক্ষ্য ৰাখি এই আহ্বান জনাই মুখ্যমন্ত্ৰীগৰাকীয়ে।	The Chief Minister made this appeal in view of the Nisarga cyclone.
বিশেষকৈ বড়ো বসতিপ্ৰধান অঞ্চলৰ বাথৌ সমাজত বুধবাৰে অনুষ্ঠিত সৰস্বতী পূজাৰ মণ্ডপসমূহত দেখা গল এক বিপৰীত দৃশ্য।	In particular, the pandals for Saraswati Puja held on Wednesday in the Bathou community in the Bodo-dominated area were a sight to behold.
হনুমান জয়ন্তীঃ ১০৮ফুট উচ্চতাৰ প্ৰতিমূৰ্তি উদ্বোধন প্ৰধানমন্ত্ৰীৰ...	Hanuman Jayanti: 108 feet tall statue inaugurated by PM
সমাজৱাদী পাৰ্টিত যোগদান কৰিলে শতুঘ্ন সিনহাৰ পত্নী পুনম সিনহাই	Shatrughan Sinha's wife Poonam Sinha joins Samajwadi Party
তিনিদিনীয়া কাৰ্যসূচীৰে অসম ভ্ৰমণলৈ অহা ঊষা মংগেশকাৰ শনিবাৰে প্ৰায় ৪ঃ৩০ বজাত উত্তৰ পূব কৰ্কট হাস্পতালত উপস্থিত হয়।	Usha Mangeshkar, who is on a three-day visit to Assam, reached the North East Cancer Hospital at around 4.30 pm on Saturday.
তথাপিও সকলোৰে কামনা, বিজ্ঞানৰ আগত কোৰোনাই এদিন হাৰ মানিব।	Still, it is everyone's wish that one day Corona will give up before science.
‘ বি এছ এন এল আছে বাবেই বিশ্বাস আছে।	"""There is trust because there is BSNL."
ডাবল মুখ্যমন্ত্ৰী হ’ব নোখোজো মই।	I don't want to be a double chief minister.
২০২২বৰ্ষত অস্কাৰত শ্ৰেষ্ঠ অভিনেতাৰ বটাঁও লাভ কৰিছিল স্মিথে।	Smith also won Best Actor at the 2022 Oscars.
